	sentiment	content 
7734	happiness	@DVNT Cheers. Wish I had more fonts to play with
7736	worry	my twitter looks funny  someone help!
7737	worry	ugh. trying to respond to all of the emails/voicemails/facebook messages that I missed while out of town. this could be a while
7739	worry	Then I ruined a perfectly delicious green smoothie by throwing in the last of a bag of frozen strawberries.  Freezer burn.. yum...
7740	sadness	I dont feel well  i got a dentist appointment later.
7741	hate	This is slowly going to drive me crazy i hate leaky faucets they're frustrating! I'm ready for a nap but there's no naptime at work
7742	sadness	@PoynterJones can I join you in your jealousy?  :L
7743	worry	needs to wash her cats. Uncool.
7744	neutral	Dadgum, I think this nations shipping needs have shut down completely. still no freight for carriers out there.
7745	worry	damn you rhinitis! boohooo my poor nose
7746	worry	@LifeCoach2Women  i wasn't able to go the conference.so I didn't get the outline.. however I have been doing my own &amp; it's coming along.
7747	enthusiasm	What a meeting... YAY more work for me
7748	sadness	Back @ work, migraine lingering   Can't wait for the weekend!
7750	sadness	@holmescnn Oh, I didn't realize its on at 830 as well- already at work- or as today still in the car, don't ask
7751	love	@livefrombrazil -I don't have a ticket, my boyfriend isn't that into them, it might rain, and I'm on a budget...boo!  I &lt;3 @coldplay tho
7752	love	@carinacani DAMN @-) That's a lot of messages from him @-) HOW SWEET. :&quot;&gt; And yeah, sayang
7753	sadness	You know your neck is jacked up when you are forced to pay for parking bc you can't turn you head to parallel park in the free spaces...
7754	sadness	forgot to wish sister happy birthday yesterday.
7755	surprise	Well done doing blood work..its hot out again
7757	happiness	Day is going well so far. Meeting until 4 though.
7758	worry	@SteveAgl not for me
7759	sadness	I miss you guys
7760	sadness	Goodbyes ... Hurt
7761	neutral	@CartoonBeardy ....welcome to public transport  X
7762	worry	My computer is broken
7763	sadness	My parents withdrew permission at the last moment, I am not going along with tomorrow's SAC trip to IDP camps  #Pakistan #IDPRelief
7764	worry	@jgreco4 Outlook not so good
7765	worry	Just discovered a painful sunburn on my right sholder  hopefully it just turns into a tan!
7766	neutral	I wish the weather would make its mind up! Also wish I could hurry up and get my new song up on myspace
7768	neutral	last #ff  @Mel_Diesel @vja4041 @DemonFactory @shawnmcguirt @SEO_Web_Design @ChuckSwanson @agracing @confidentgolf @tluckow @legalblonde31
7770	neutral	@honeychild27 You're the only person to have joined in  #penilewords
7771	sadness	enjoying the great sunshine.. from indoors.. I don't feel good today
7772	worry	@kakoivisto checked with the hubster and I think we'll pass -- feeling too lazy to caravan after running around with our friends.
7773	sadness	I'm over @ringorang today.  3 wrong answers in a row.  My brain's not working today.
7774	neutral	there's a guy in my house so i can't go downstairs with no pants
7775	worry	so instead of laying out in this 90 degrees i've gotta give 32 fourth graders miso/rice/sushi/mochi in an hour  fml
7776	neutral	Had a dream I brought @mandykmusic and @keat to kings island. It was pretty sweet. Bummed they're in poughkeepsie 24 hours before me
7777	neutral	@Switch42 I think that's cutting off the URL so the pic doesn't turn up.   #mishaneedschapstick
7780	neutral	@bec_oi twitter eh chato mas vicia
7781	worry	Damn, looks like the USB card reader that I got from Dealextreme doesn't work. I can see the files on the card but they are read only
7782	sadness	@lilivonshtupp I'd rather go to the matinee but I have to work  Still debating whether I should go cos going alone is no fun haha
7783	worry	is there a program that tells you when someone stops following you or who started following you? Lost one last night and I've only got 85
7784	worry	Really disappointed I can't make it to bloomington for @sproutbox launch party tonight  if you're around you should check it out
7785	sadness	Still havent left the house yet. This is rediculous! REALLY!   S*D*P* &amp; T*K*K*
7786	worry	@lauraEchilds u really dont right now! i am as sick as a newt in a freezer! its aweful  x
7787	surprise	wants this summer to actually have some sun in it
7788	neutral	@bkmacdaddy Not doing single ones 2day...beat  lol but would say ...ur as creative bright and fun as ur avatar with warmth+ depth #ff
7789	neutral	why is it so windy?
7790	sadness	Boys are sitting down for photos, no touching and no handshakes allowed.  #asylm
7793	boredom	Have I mentioned this bus was sloooow? on it for about one hour now
7794	worry	My dog Roscoe died yestarday and I'm so sad
7795	hate	Never before in the field of human conflict have so many hard drives died on me.   What a waste of a day.
7796	worry	@vargas7 that sucks!!
7797	neutral	I am so jealous that @collystringgs got to sleep until 1
7798	worry	@JonathanRKnight Good morning! Aww, sorry that you were stuck in the airport for 12 hours!!
7799	relief	Ok, shortened urls are fine and all but, please, give me more context other than just &quot;cool&quot;. Not everyone has &quot;url-auto-expand&quot;
7801	surprise	@Ferarro Is that why your blog is set to private?
7802	enthusiasm	Found some great places but I might have to play it safer and wait 2 years till my car is paid off
7803	love	@thomasfiss we want you back !!!
7805	happiness	@marcftsk haha thanks for clarifying that.i thought u meant mr bello. I wish i could be there! That where my cousins live
7806	sadness	Oh darn. Lost another follower.
7807	neutral	I know it wasn't going to be there, but I check EZTV for The Office torrent...
7808	worry	Crazy debt issue. Maybe I had messed up when closing my old account? Not really sure but looks like I may have to cover it - aaargh...
7809	sadness	i woke up just now missing alabama terribly  my dad says we will be moving there. soon. thank god
7811	worry	Ugh, I'm definitely going to be sick. It's coming and it's going to suck.
7812	worry	Bringing my kitty to the vet tomorrow, I think she's got a tapeworm.
7813	surprise	omg, my right hear us blocked and it's so annoying. what i i wake up deaf?
7814	worry	is sitting in the marshall center w/Mina. Some1 must really not want me to go to the gym..this time i lost my wallet n w/no ID i cant go
7816	happiness	can't wait to november for Jobros concert ! In examination
7817	worry	@StoryShtick Ugh.  Now my ears are having phantom pains.
7818	sadness	Why is it soooo cold &amp; ugly out??
7819	sadness	No more Wiffleball..  Damn.
7820	worry	@viveknshah kandivali  @100rabh my girls r gonna kill u for that answer! @shaaqt @limeice @unitechy @spitphyre
7821	sadness	a female robin just flew into my window and I watched her die in my bushes...  i think i am going to cry now...
7822	worry	Doctors with mommy.
7823	happiness	@flattycharn i know the IMUx1000 is not referring to me... (WHO IS IT AH?) but... i miss you
7824	worry	Going to the courthouse to pay for tags &amp; taxes on all our cars...this is gonna be expensive.
7828	hate	@StaceyVPofWC i was sent home yest from work, when in again today but feel like hell and burning up with a high temp, got it off hubby
7830	worry	Now Im in the work  , I miss my home, any news?
7831	relief	@ryansilk sounds like a great idea.  wish I could make it
7832	worry	@iamdiddy I do!!!!!.... I'm single and it sucks!!
7834	neutral	Cleaning the house
7835	relief	@JustTeaching haha nice to know I'm not alone! Working in the BBC and can't see it
7836	sadness	@nellclothing I cancelled a run in favour of... staying in. Wish I monies for pubulation tho
7837	enthusiasm	@bryanhowl  @kat10187  You guys can make it through!
7839	worry	http://twitpic.com/66xjl - An hour in the sun turned me into a blancmange. Sucks to be pale
7840	worry	@sos100 internet billing with fee of 30% and only in 13 countries and a setup cost of 5000 for usa alone
7841	worry	is going to shul
7842	neutral	@chocoluvalm i'm trying to figure that out right now
7843	worry	@chasejustin i can't go tonight   *Cait*
7844	neutral	on my way to work been off for four days and i really really dont wont to go!
7845	worry	I've been reading up on Sims 3 genetics on the Sims 2 forums. Apparently hair dye is passed on to offspring. I'm very disappointed
7846	worry	@lilyginny27 @tomfelton no freakin way!  Gah LG... I'm sad for you.  No love for the feltbeats admin...
7848	worry	@swopusa  Damn, I was hoping that was somewhere in the U.S.
7850	sadness	GrimeStopper loss  client lost their job so we did too. Hope the quote later today turns into more work. Drowned my sorrows w a huge h ...
7851	sadness	@AnnaVodka I'm sorry to hear that! that makes me sad
7852	worry	Chemistry is not fun..
7853	fun	@PartyGurle That's great! I will have to do the same as I was forced to miss it. I had to leave for work.
7854	worry	Missing brandon. Wanting to talk to anthony. Sadshoes
7858	worry	@JillzWorth i rarely sleep.. cant help it   hehe
7860	worry	@iamdiddy I need a hug... Gotta find another place to live and a new job
7861	worry	The poor Pirate had out his last wisdom tooth and is looking really peaky.
7862	worry	@iamdiddy me because I might not have enough money for college!!!
7863	worry	@iamdiddy yes I do! Because he is going to the marines to protect &amp; serve and leaving me!
7864	hate	So hot today =_=  don't like it and i hate my new timetable, having such a bad week
7865	sadness	@i_am_umlaut oh no!  i'm very sorry to hear
7866	neutral	@ismh i don't have anything being fwd through to mobileme and the last week i've gotten at least 4 -5 spam messages a day
7868	fun	We're dealing with Overactive Let-Down right now.   http://bit.ly/9ydHU
7869	worry	@the_breannarose fuuuuuuck  idk if andy can get youuuu
7870	worry	@adbert @DougOntrack @organicsue Is it me (my machine)? or... Vids freeze up, halt whole blip stream  ? http://blip.fm/~79l0q
7871	neutral	Just wants to compute
7872	neutral	watching my ard earn money dissapear.
7873	hate	http://twitpic.com/66xlm -  hate when my PARKED car gets hit
7875	happiness	Enjoyed this week off work, back next week
7876	worry	im @ the eye doctors &amp; had to bring trinity with me cause my mom fell down the stairs today &amp; broke her toe. ugh
7878	love	Steve makes fruit smoothies for me each day &amp; they are berry delicious, I made mine today &amp; it was berry, berry bad
7880	sadness	The Oddo's grandfather passed away in his sleep
7881	sadness	doesn't get to see her fav5 today like planned
7882	sadness	I saw amazing heeels. But they were too big
7884	neutral	TGIF y'all! And it's really nice out... I work 12-5 though
7885	worry	@princessxansley oh and i dont know how to get twatter mobile to work.
7886	hate	@teamincredible ALL white shoes make me cringe  . White shoes give me pause.
7887	worry	@AboutK damn - doesn't show how people are more conservative in blackjack
7888	sadness	bout to go to work
7889	worry	My convo starts in 12 hours... and I am sitting 6500Km away writing GIS queries
7890	worry	i finished packing and sorting out old clothes XD i have stomache ache though
7892	happiness	@veeriwhoa OH SILENCE VERONA!  I AM WANTING TO GO   jaja, enjoyyitverymuch and bring me phothos of Danny and dougie ?
7893	love	@iamdiddy my lil sister Charese, her best friend passed today
7894	worry	ITS RAINING ITS POURING.............where is my spooning  buddy
7895	enthusiasm	@INKDMOM I know, right?!? I have such a lead foot
7896	hate	My mouth hurts from this stupid retainer!!
7897	fun	10 out of 40 done... everyone is going to be home drinking beer starting next week
7898	sadness	I am soooo hungry. But waiting for bf to get home, he has car trouble and is waiting for the mechanic to help him...
7899	sadness	skype call with billie but my webcam dont work
7900	relief	@MorningMajor yep,raced round it in cars and bikes,its only 40mins away,dont av much motorsport there now,its more planes n choppers now
7901	love	joe: 2.30pm Kevin pics up a new pair of pjs :') PMSL i could have died!!! lmfaoo :') I MISS MY BOYS
7902	worry	@shardaeAngelica yeah and in the tatami room!  kids + tatami dont mix
7903	worry	@twaysive hm, this not a good medium for much more then yes/no  I am responding to previous posts,days ago, &amp; other conversations we had
7905	happiness	Totally been too long since I updated.  Saw Star Trek, excellent!  Killed Yogg-Saron 10 man.  Memorial Day killed 25 man raids
7906	sadness	@esull have a great camp!!!!! Wish I could be there.
7907	worry	@insidebooks Ooh, jealous. I just have yoghurt and some carrots.
7908	love	Ahhh I am sooo happy Ashley Tisdale is in Germany but I am not in Oberhausen...  But i will show it in the TV at 8 o' clock yeah I love it
7909	relief	is wanting someone to spend her summer evening with whilst she's in such a nice relaxed mood !
7910	sadness	@MissCaseyB I know what you mean  rain sucks...
7911	worry	Why can't I make a phone call! I hate this anxiety crap. Someone cure me
7912	worry	@craigandera I got my copy yesterday, too, although right now I'm digging into Scala, so can't read it just yet...
7913	neutral	@judilynnfudge can you send ringtones to iPhones?! Idk how to regular ringtones for it
7915	sadness	Last day of high school  i'm gonna miss all my friends
7916	sadness	@hithit  missing jmichelle... told you treat me like a step child! smh
7918	worry	@lorenarojas But it is our reality  , we must survive. What doesn't kills, makes stronger. PA'LANTE LORE !
7920	sadness	@neeshababyyy they won't  guys are retarded!
7921	neutral	On Security Audit
7923	relief	@luv_liv_lyf good to hear! Just in time for the weekend. I'll be working though
7924	sadness	@inlovewitharmy What timeeee? My mom says I have to do something daw tomorrow, eh. But we're never compelte!
7925	neutral	is off to work
7926	worry	Oh... I miss the Piano.
7927	neutral	@Blauerpunto britta says she wants to have lunch with you too
7928	worry	@N3H4 thats maddd ass bullshit dammit i feel baddd boooo powerpoint piece of shitttt
7930	worry	@fansitesnetwork i love you &lt;3  host me lmao
7932	worry	got up at 8 today, and also misses his friend @danceashleylove
7933	hate	Is UPS like the cable company and doesn't show up til the last possible moment? I'd like to take a nap before school gets out
7934	neutral	Don't know what the heck to do with the space of time between now and BGT    Bored.
7936	sadness	i'm still full from the buffet at palms.  my stomach actually hurts. ugh gluttony bites.
7937	worry	I hate going online and looking at the balance in the bank.  its always a lot lower than I need it to be.
7939	neutral	@howlertwit AAAAhhhh! you makin me feel all gilty now
7940	happiness	Planning to install Windows 7 tomorrow, so probably no new posts for another few days at least
7941	worry	@iamdiddy I need a hug because our pitching has been lackluster, our shortstops can't field &amp; Big Papi can't get above the Mendoza line.
7942	worry	headache
7943	sadness	Off to play Tennis at Bel Air, courts are wet  but, we will play anyway.
7944	worry	none of my friends is on this
7945	worry	hurt my left knee somehow last night, hurts to walk
7946	neutral	wants cookie
7947	neutral	@Nicsey 3000 then ya up with me my friend ... i type too much
7948	sadness	charlies roastbeef: mostaza no manejamos. WTF?
7949	hate	@CaronsBeachHs  Still dealing with quite a bit of pain, will jump off here soon to lay down,very frustrating  Thanks 4 asking
7951	sadness	@iamdiddy - Me. because my ex boyfriend of 2 years (we broke up 2 months ago) is engaged to his gf of 6 weeks.  sad, embarrassed. Hug?
7952	love	Had a fantastic day with an amazing girl! Just wish Sara didn't have to go home.  #fb
7953	worry	Why are money problems so bad these days
7954	worry	This wind is crampin' my style. I have a section of my yard that won't get any water. I'd move the sprinkler, but it's surrounded by mud.
7955	sadness	i was too slow to get $1 Up tix
7956	fun	This morning I rode behind a guy with a bird cage containing a plastic Tyrannosaurus rex attached to his bicycle. I couldn't get a photo.
7958	worry	There  was just a horrific fight at my school  glad everyone is ok and that it's Friday.
7959	worry	@southern_storm lucky! I'm still working for another 4 hours!
7960	neutral	@YoungLexHolla Ooohhh  well you could always borrow and burn buddy. Lol
7961	happiness	@ashleytisdale Ahhh I am sooo happy Ashley Tisdale is in Germany but I am not in Oberhausen...  But i will show it in the TV at 8 o' clock
7962	neutral	Whew! Moving commercial-sized freezer and cooler a lot more work than I expected. Missing the HTC roundtable
7963	sadness	So...woke up in time just for work.....boo
7964	neutral	forgot my phone at home
7965	neutral	wants to eat baked tahong. It's been a while. Really.  http://plurk.com/p/x24ke
7966	worry	@divarina21 hello beautiful. how's mariahs baby? jackie still isn't talkin to me. i called her n left her a message the other day.
7967	boredom	Not really feeling like my man cherishes me  wtf ! http://myloc.me/1ZLt
7968	sadness	@ 5 happiness (chinese) totally disappointed  the food is USUALLY good *FAIL*
7972	surprise	@that_kat why not??  xxx
7973	love	@lewdogg I wish I could afford to attend those benefits.
7974	worry	gprof problem on Mac  why ??
7975	hate	@RobynHumes Can't  Bro on laptop &amp; Salm on comp! Me stuck with Wii :'( xx
7977	sadness	@SweetHomeBirth  link isn't working
7978	worry	The computer is being really slow, especially on typing!
7979	worry	@jmliss Link didn't work
7981	fun	@repressd Tell my work to give me two days off in a row! Stat! I'm full time I'm supposed to have priority
7982	worry	it might be sunny today, but alas, new product must make it to Etsy!
7983	worry	whooaaa. just got an overwheolming itus attack after eating
7984	worry	@RedPumpProj i would direct message you regarding blogging while brown, but a sista hasn't mastered that technique yet  ..lol
7986	worry	@alwaysafton I had an interruption in service on my phone, so I missed everything on Tuesday morning.
7990	sadness	@DinerokidMayo Im upset cuz now everyone agrees
7991	sadness	apparently you are not getting on anymore... sad
7992	worry	At the dr office for abbie's second round of shots...
7996	worry	@winkphotography great to finally meet you last night! Wish we had more time to talk. Can't go to the coffee GTGs, though... Day job.
7998	sadness	@dorritos @repressd i get migranes.. so @repressd.. that leaves you to either arthritis and/or gout!
7999	worry	webcam still wont work  evil stuffs.
8000	sadness	argh! why why why
8001	love	Lunching and bike riding around the village today with Lulu. Love my new bike, just wish I didn't have to lock it up all the time
8002	worry	@PandaMayhem my kid is sick too tho..i can't do it by myself.  i can't go there by myself like a crazy stalker
8003	sadness	possibly going out tonight; is there ANYTHING to do in Lancaster? I miss Baltimore
8004	worry	@iamdiddy I need a hug  I'm doing my junior cert this week and I'm totally stressed out :'(
8005	sadness	@pilmorelee you beggar! Making me feel homesick
8006	sadness	@frgmnt I know, lame.
8007	happiness	Thinks its gonna rain
8008	worry	@cheesygiraffe aww. I hope you feel better soon.
8009	worry	@mmitchelldaviss It saddens me, you're youtube has changed. It's just like every other youtube kid, you used to be different
8010	hate	is fed up of stupid bots adding me
8011	neutral	Is waiting for sumone to come online
8012	worry	Feels rather lonely on here! I have no followers
8013	neutral	@JraseanJ aww  I wish there was sun out here. Then I can get a tan!!!!  (walks it out) go meee go meeee
8014	worry	Twenty20 cricket, beer and sunshine very good. Well apart from the beer cause i'm on tablets!
8016	sadness	Rope witdrawal in full effect, no one to tie, no teaching, no demos, no one to play with. But worst of all - No one to play with!
8017	love	come and save me from my packing please?!
8018	worry	@iamdiddy including myself... guess umma be partying alone yet again...lol..
8019	love	My break is over  back to the inferno  [ I Love Her ]
8020	love	eating some breakfast at Panera Bread. boring cloudy weather, lil drizzle
8021	worry	honestly cant wait for wednesdays chemistry exam to be over - getting to me real bad
8023	love	I have a job at camp!!  Only downfall? No midnight showing of Harry Potter for me
8024	sadness	Rachael makes me want to cry
8025	neutral	Fish fingers and potato croquettes it is then! Would love some baked beans, but they tend to hurt me.
8026	worry	my internet service has been acting strange after the earthquake. Just found out that the submarine fiber optics cable got damaged
8027	surprise	@natalietran hey Nat, just wondering, why are your videos never available on the iPhone?
8028	sadness	@katebuckjr Sorry I can not reach either URL
8029	worry	I would do a #FollowFriday, but everyone on my list is already on everyone elses list so what's the point?  I'm just not popular enough.
8031	sadness	My eyes hurt.
8033	surprise	@mawbooks I want a copy to read! I can't find it at my little library.  #bea09
8035	surprise	@cocodkr the vid-link is not working  but snatched some people to follow off your list ;P
8037	sadness	has today off! But has to work tomorrow
8038	sadness	being lazy the rain does that to me  gym&amp;&amp;tanning is possibe, work &amp;&amp; a small social gathering around tha corner
8039	sadness	Can't give blood within a year of getting a tattoo so I can't give...Im gutted
8041	worry	@charlimillions where r u i? Am wearing a black polkadot dress n green cardigan i cant find u
8042	worry	Are you going to hate being around my baby?
8043	sadness	my head huwwts
8044	neutral	@jonmerryman I remember the show... I don't remember the hiccups...
8045	anger	@cindaxo the straightener's another 110 pounds though. Seems pricey
8046	surprise	Ugh its really hot today already and its not even noon yet  i want ice water!
8048	sadness	@vosdjs LOL yea the fondue is on point... but that Chocolate Lava Cake is what you really want...but I wont be here   Im Mon-Fri babes!
8050	neutral	@thetastydactyls  did you try the coat-hanger trick?
8051	sadness	That's it? It's done already? This is one proof that there's nothing fair in this world.   http://bit.ly/10UEMq
8052	worry	@J1S2004 Ubertwitter is still giving me an error msg.. Smh... Sucks
8053	happiness	@nick_carter  awww poor you  - but you know ... you're doing it for US - bless you ;)))
8054	worry	@thegoodhuman Sorry to hear, wish there were words to make it better you
8055	neutral	Will be back in Dallas tomorrow.
8056	hate	Just finished reading Chuck Palahniuk's &quot;Pygmy&quot; and kind of hated it. I'm really disappointed; I had pretty high hopes for this one.
8058	worry	@davegiumara yeah the weather ruined my plans too  i was gonna beach it up as well
8059	boredom	ok its been one hour im still waiting im losing my patience
8060	surprise	@awaisnaseer I had mailed @badar76 for something, you got the e-mail, I didn't which should probly mean I won't get it
8061	happiness	@erinhosborn Thanks Legolas.  @betterlesson Fellowship. re: Google wave: like. @bing demoed 2. http://tinyurl.com/ma6j6l means &quot;Disease&quot;
8063	love	Every time I hear someone from Vancouver, it makes me follow them. I'm hopelessly in love with #vancouver
8064	worry	@iamdiddy my hubby.  promised job promotion so we didn't move, signed a new lease n they withdrew the promotion...
8065	sadness	@APStylebook I know, but I need some things in my life to be constant
8066	sadness	Is youtube not working properly for anyone else? I can't watch videos because they keep failing to load
8068	worry	@iamdiddy  My dog Nemo cause he wimpers every morning when I leave
8069	worry	@_Enigma__ did you even listen to the blip i sent you
8070	neutral	I hate having headrush
8071	sadness	no luck in goin to forum.. im about the only person on earth not goin out
8072	sadness	Starving. And Alyssa's mom would bring her subway.
8073	enthusiasm	I really wish someone would make a groupchat theme for Adium suited for IRC. yMous has way too low contrast.
8074	happiness	At the doctors office woooo so much fun. Have to go back to wotk after this cant afford to be off.
8075	worry	Saw a black snake in the garden.  Went back for a picture and it was gone
8076	sadness	has new headphones but no mp3 player yet  http://plurk.com/p/x258n
8077	neutral	@causticsoda it was fine. i was still up playing inFamous. sorry to hear how things ended up again
8078	worry	Having trouble syncing my iphone to my work exchange email  help!!!!
8080	sadness	@risquethaianna i cant go swimmin any more
8081	empty	@_Cheshire_Cat_
8082	neutral	@anisalovesu it was apparently a request by the guests
8083	enthusiasm	workin at la bootay... wheres the warm weather at???
8085	worry	Sunburn on my knees
8088	worry	In the mood for shrimp scampi but I don't have vermouth.
8089	worry	Today is not going to be relaxing like I hoped.
8090	neutral	@JonasBrothersOx umm..nope not anymoree
8091	sadness	@tommcfly sweet .. Englands becoming lamer and lamer since you guys left
8092	worry	in media still havnet found ipod
8093	worry	They just layed off 23 teachers in the city near me  I wonder if I should be thinking about not going into that jobfield...
8095	hate	On my way 2 work damn sinus headaches suck
8096	love	I ate to much lunch...now I don't want to work
8097	neutral	@Jengo_ i wanna go to the pub
8098	sadness	@GLAMvoy Yes I think so unless it changed.  I sent u a happy mothers day text but u never responded back
8099	hate	Got tired of the kitchen being uninhabital so swept and mopped the floor when its dry I'll do the work tops
8100	sadness	@emaxio still @ the courthouse!     Happy to have a job... sad its this one!
8101	sadness	@tearose21 Wish I could be there to enjoy a girls day!!!
8102	worry	http://twitpic.com/66ydb - @jenleighbarry I made sure you got credit at the end of the book...I'm sure I forgot people though.
8103	neutral	where is @HoodieCouture ???
8106	sadness	Im here at work super bored
8107	neutral	JUST GOT BACK 4RM A LONG WORKOUT AT DA GYM  ....
8108	sadness	to cold for the beach  sucky.
8109	empty	@deardrahpee don't know  and no not at all
8110	sadness	@Berumen4 No.  Just sitting around sculpting tiny koi.
8111	worry	I never order chips any more due to how unhealthy they are, but getting a burrito from Chipotle or Qdoba doesn't feel right without em
8113	neutral	just slammed my finger in a car dor  FML ow
8114	neutral	Hmph I had to order some bootleg Pharos GPS phone they dont have the BB I wanted at Office Depot
8115	happiness	out enjoying the weather before i have to go to work.. last shift with @jamieallover
8116	neutral	awesome i just ruined all my white clothes i never remember to separate
8117	sadness	O.k i feel like i need to cry now  i can't believe that in less than 2 years ill be walking across the stage to get a High School diploma!
8118	empty	Piz's last lunch in b-dubb
8119	sadness	@Jonasbrothers Just saw the webc. awesome! i loved all the songs! im sad cuz i couldnt be there  had 2 wake up early and it started at 1am
8120	sadness	So now we'll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.
8121	happiness	Had quite a cool day with Charlie and then Ben aswell (: got lost and stung by nettles
8124	worry	feel like shit.....and will continue to for as long as it takes
8127	worry	is suffering from hayfever, is drowsy from too much Piriton, and is heading to bed with the air purifier on
8128	sadness	back from lunch and it's pouring rain! ugh  ohh well at least it gets me into a Death Cab For Cutie mood!
8129	sadness	@Mad_Gab  We should bask in misery together
8130	worry	@Sirvashawn let me know how it goes I'm praying. Ummmph. I still can't believe it.
8131	fun	ok... finished all the Mikados  Should shut up now! lol
8132	worry	@travisroberts What would you know about packing? You're making poor Lauren do it all.
8133	enthusiasm	Sushi joint was closed  but still had a nice lunch w/ Angel!
8134	neutral	@kirbywhitehead haha! I remember that! That trip was fun. I Miss miss miss miss miss chu
8135	neutral	@chathuraw ???? ???? ????.....  ???? ???? ??????? ?? ???...
8136	neutral	wish i was 17 again
8137	neutral	says from now it will be impossible to Plurk from work  system administrators closed the access in the firew... http://plurk.com/p/x25jw
8138	fun	@blues_traveler I want the Tix!  Oh, right.  I'm know where near Vacaville Ca.
8139	sadness	i feel super sick
8140	sadness	http://wave.google.com/ &lt;3 Google ... wish they'd spend a bit more time adding bits to Chrome though
8141	happiness	@rayrayyyyy &quot;now or never&quot; makes me cry everytime  lol.
8142	worry	going to a funeral
8143	worry	Worried sick now about my granddaughter. She's at Hasbro possibly needing to have her shunt revised which means another surgery.
8144	worry	@djjezzie  how very rude fof them, you poor girl i hope you recovered from that  awful site
8145	neutral	Twitter is slow!
8146	fun	@siamusic  as long as you have someone to make out with    lol
8147	sadness	my head is bruised really bad :|
8148	empty	finished the noodles. done the dishwasher. really really warm. i don't like it
8149	worry	Ruby Luster can't make it to NYC for our performance
8150	sadness	I hate it when I am in pain
8151	love	i have an ipod nano i never use.tut for the love of all things Apple
8152	worry	My last day with my favorite teacher.....im quite sad
8153	neutral	Just updated #Tweetie and open in browser is still broken.
8154	neutral	@rawrrxsteffie yeah quite a few kids in my school got swine flu. they only close down the school if its 30 kids or more
8155	sadness	I'm trying to find a pic for twitter but all that  ihave are too big or can't upload. So I shall remain faceless  lol
8156	worry	http://twitpic.com/66yb9 Ozzy back from the vet. Not feeling well. He looks so sad.    Possible UTI. Results tomorrow.
8157	sadness	@crystaaale wtf kinda best friend am I? I *still* haven't met the hubby. That depresses me
8158	sadness	Room is so empty
8159	hate	Sitting in Mrs. Martins class, youtube is being stupid. and i REALLY want a popsicle!!! jealous of Sara
8160	worry	zoita had a cardio apt. 2day. doc says her hole-in-the-heart hasn't closed. she'll need the surgery to close it http://ghurm.tumblr.com
8161	worry	@LucyMeez   I tried that pincode... and it says it is expired... you only just put it up.
8164	sadness	@lilmo4ever I'm So Mad I Wont Be There!!!!!!!!! UGHHH!!!
8165	worry	is hungry, but can't leave for lunch
8166	sadness	Man, my sinuses r really buggin me this morning
8167	sadness	Had an interesting evening amongst homeless people in Venice Beach last night, wishing I had my camera with me........ and model releases
8168	neutral	kinda has a headache...
8169	neutral	pool is still closed  and it is cloudy. what should i cook tonight?
8170	neutral	My trip to Igbaras will be postponed to next week
8171	neutral	Is concerned about @pixiefish
8172	hate	@Mezzie1221 you are a slow answerer!
8173	neutral	@nikkijean wish i coulda been there
8175	worry	Have @ Irma Vep rehearsals. No...not really.
8176	surprise	Why doesn't McDonald's make PINEAPPLE pies?
8177	worry	Ouch!!... Stomachace.... I ate a lot...
8180	worry	@bruceswalker   Hi Bruce  I am trying to eat healthy!  It's kinda scary when I read &quot;Eat this Not that&quot;  maggots and rat hair in our food
8181	worry	@heffasaurus  anything I can do to help?
8182	worry	i can't sleep.  amp.
8184	happiness	http://twitpic.com/66ymw I'm gonna miss these guys so much  Thanks for making the 5 years at senior school amazing!
8185	happiness	@Rush23 how about we start with a true Franchise online mode. Dynasty was huge, Madden online league not so much
8187	love	@Lidybeth inoo thats why i sed ino how u feel coz im in love with kyle, i feel like such a saddo but its true ha i wanna see him tuesday
8188	surprise	@MetromixOrlando ok cause the one  S orange is still open. Whew, you just scared me. Sorry the one by you closed
8189	hate	Youtube is made of fail right now. Or maybe it's just me that it hates.
8190	sadness	oasis or ribena? toughest decision everrr
8191	worry	A year from now is graduation....i am pretty sure i'm not ready for it!?!?!?
8192	happiness	Just got back from the concert! Some mistakes... I kinda failed my Macedonian test  But my relatives from Serbia are here! WooHoo!!!
8193	enthusiasm	at school again  its boring and these people are playing country and it sucks !!!!XD
8195	happiness	Just watched the &quot;Final Break&quot; final prison break episode. It was great. Farewell Prison Break. You will be dearly missed.
8196	worry	So, no yarn arriving until Monday and I don't even know what's in this shipment.  I have nothing to dye.    Now what?
8197	worry	I'm gettin ready for my trip back to MA...  I don't wanna leave!
8198	empty	@Shooz1 ok ok mam ... i was jus angry
8199	neutral	@zHundred No. Not professional at all.
8200	neutral	@emclev yeah I can imagine!  Not nice   How much longer is your shift?
8201	neutral	So Bored. Firday Evening And Nothing To Do
8202	neutral	time to be nerd
8203	hate	@soniei argh. I don't like ebay. I got outbid at the last second
8204	love	@ginjagin I think you're pretty! I'm sorry they made you feel bad
8205	worry	@SiCoUK he won't reply
8207	worry	*YAAAWN* Stayed up too late last night, still gotta work &amp; get up super early tomorrow
8208	neutral	On the phone with the bank.
8209	relief	@bethanyshondark Ouch. Better get used to it. I think 22 to 25 are prime marriage years.
